dataid	knownlabel	readtype	predictedlabel	readcounts	ptype
T100	Unrelated	MM	Coronaviridae	9	Double
T100	Coronaviridae	EQUAL	Discarded	267	Double
T100	Human	EQUAL	Discarded	0	Double
T100	Influenza	EQUAL	Discarded	1198	Double
T100	Metapneumovirus	EQUAL	Discarded	0	Double
T100	Rhinovirus	EQUAL	Discarded	1024	Double
T100	Sars_cov_2	EQUAL	Discarded	110	Double
T100	Unrelated	EQUAL	Discarded	64	Double
T100	Coronaviridae	INDEL	Discarded	0	Double
T100	Human	INDEL	Discarded	0	Double
T100	Influenza	INDEL	Discarded	1	Double
T100	Metapneumovirus	INDEL	Discarded	0	Double
T100	Rhinovirus	INDEL	Discarded	1	Double
T100	Sars_cov_2	INDEL	Discarded	0	Double
T100	Unrelated	INDEL	Discarded	0	Double
T100	Coronaviridae	MM	Discarded	74	Double
T100	Human	MM	Discarded	0	Double
T100	Influenza	MM	Discarded	333	Double
T100	Metapneumovirus	MM	Discarded	0	Double
T100	Rhinovirus	MM	Discarded	318	Double
T100	Sars_cov_2	MM	Discarded	36	Double
T100	Unrelated	MM	Discarded	16	Double
T100	Coronaviridae	EQUAL	Human	0	Double
T100	Human	EQUAL	Human	77779	Double
T100	Influenza	EQUAL	Human	9	Double
T100	Metapneumovirus	EQUAL	Human	0	Double
T100	Rhinovirus	EQUAL	Human	0	Double
T100	Sars_cov_2	EQUAL	Human	1	Double
T100	Unrelated	EQUAL	Human	77243	Double
T100	Coronaviridae	INDEL	Human	0	Double
T100	Human	INDEL	Human	24	Double
T100	Influenza	INDEL	Human	0	Double
T100	Metapneumovirus	INDEL	Human	0	Double
T100	Rhinovirus	INDEL	Human	0	Double
T100	Sars_cov_2	INDEL	Human	0	Double
T100	Unrelated	INDEL	Human	29	Double
T100	Coronaviridae	MM	Human	29	Double
T100	Human	MM	Human	22379	Double
T100	Influenza	MM	Human	13	Double
T100	Metapneumovirus	MM	Human	43	Double
T100	Rhinovirus	MM	Human	19	Double
T100	Sars_cov_2	MM	Human	17	Double
T100	Unrelated	MM	Human	22234	Double
T100	Coronaviridae	EQUAL	Influenza	0	Double
T100	Human	EQUAL	Influenza	0	Double
T100	Influenza	EQUAL	Influenza	76778	Double
T100	Metapneumovirus	EQUAL	Influenza	0	Double
T100	Rhinovirus	EQUAL	Influenza	0	Double
T100	Sars_cov_2	EQUAL	Influenza	0	Double
T100	Unrelated	EQUAL	Influenza	0	Double
T100	Coronaviridae	INDEL	Influenza	0	Double
T100	Human	INDEL	Influenza	0	Double
T100	Influenza	INDEL	Influenza	18	Double
T100	Metapneumovirus	INDEL	Influenza	0	Double
T100	Rhinovirus	INDEL	Influenza	0	Double
T100	Sars_cov_2	INDEL	Influenza	0	Double
T100	Unrelated	INDEL	Influenza	0	Double
T100	Coronaviridae	MM	Influenza	0	Double
T100	Human	MM	Influenza	0	Double
T100	Influenza	MM	Influenza	21735	Double
T100	Metapneumovirus	MM	Influenza	0	Double
T100	Rhinovirus	MM	Influenza	0	Double
T100	Sars_cov_2	MM	Influenza	0	Double
T100	Unrelated	MM	Influenza	1	Double
T100	Coronaviridae	EQUAL	Metapneumovirus	0	Double
T100	Human	EQUAL	Metapneumovirus	0	Double
T100	Influenza	EQUAL	Metapneumovirus	0	Double
T100	Metapneumovirus	EQUAL	Metapneumovirus	77920	Double
T100	Rhinovirus	EQUAL	Metapneumovirus	0	Double
T100	Sars_cov_2	EQUAL	Metapneumovirus	0	Double
T100	Unrelated	EQUAL	Metapneumovirus	0	Double
T100	Coronaviridae	INDEL	Metapneumovirus	0	Double
T100	Human	INDEL	Metapneumovirus	0	Double
T100	Influenza	INDEL	Metapneumovirus	0	Double
T100	Metapneumovirus	INDEL	Metapneumovirus	19	Double
T100	Rhinovirus	INDEL	Metapneumovirus	0	Double
T100	Sars_cov_2	INDEL	Metapneumovirus	0	Double
T100	Unrelated	INDEL	Metapneumovirus	0	Double
T100	Coronaviridae	MM	Metapneumovirus	0	Double
T100	Human	MM	Metapneumovirus	0	Double
T100	Influenza	MM	Metapneumovirus	0	Double
T100	Metapneumovirus	MM	Metapneumovirus	22276	Double
T100	Rhinovirus	MM	Metapneumovirus	0	Double
T100	Sars_cov_2	MM	Metapneumovirus	0	Double
T100	Unrelated	MM	Metapneumovirus	0	Double
T100	Coronaviridae	EQUAL	pDiscarded	0	Double
T100	Human	EQUAL	pDiscarded	17	Double
T100	Influenza	EQUAL	pDiscarded	26	Double
T100	Metapneumovirus	EQUAL	pDiscarded	45	Double
T100	Rhinovirus	EQUAL	pDiscarded	5	Double
T100	Sars_cov_2	EQUAL	pDiscarded	13	Double
T100	Unrelated	EQUAL	pDiscarded	255	Double
T100	Coronaviridae	INDEL	pDiscarded	0	Double
T100	Human	INDEL	pDiscarded	0	Double
T100	Influenza	INDEL	pDiscarded	0	Double
T100	Metapneumovirus	INDEL	pDiscarded	0	Double
T100	Rhinovirus	INDEL	pDiscarded	1	Double
T100	Sars_cov_2	INDEL	pDiscarded	0	Double
T100	Unrelated	INDEL	pDiscarded	0	Double
T100	Coronaviridae	MM	pDiscarded	54	Double
T100	Human	MM	pDiscarded	3	Double
T100	Influenza	MM	pDiscarded	37	Double
T100	Metapneumovirus	MM	pDiscarded	139	Double
T100	Rhinovirus	MM	pDiscarded	55	Double
T100	Sars_cov_2	MM	pDiscarded	69	Double
T100	Unrelated	MM	pDiscarded	85	Double
T100	Coronaviridae	EQUAL	rc_discarded	0	Double
T100	Human	EQUAL	rc_discarded	4	Double
T100	Influenza	EQUAL	rc_discarded	25	Double
T100	Metapneumovirus	EQUAL	rc_discarded	24	Double
T100	Rhinovirus	EQUAL	rc_discarded	2	Double
T100	Sars_cov_2	EQUAL	rc_discarded	4	Double
T100	Unrelated	EQUAL	rc_discarded	165	Double
T100	Coronaviridae	INDEL	rc_discarded	0	Double
T100	Human	INDEL	rc_discarded	0	Double
T100	Influenza	INDEL	rc_discarded	0	Double
T100	Metapneumovirus	INDEL	rc_discarded	0	Double
T100	Rhinovirus	INDEL	rc_discarded	0	Double
T100	Sars_cov_2	INDEL	rc_discarded	0	Double
T100	Unrelated	INDEL	rc_discarded	0	Double
T100	Coronaviridae	MM	rc_discarded	39	Double
T100	Human	MM	rc_discarded	3	Double
T100	Influenza	MM	rc_discarded	30	Double
T100	Metapneumovirus	MM	rc_discarded	82	Double
T100	Rhinovirus	MM	rc_discarded	31	Double
T100	Sars_cov_2	MM	rc_discarded	119	Double
T100	Unrelated	MM	rc_discarded	39	Double
T100	Coronaviridae	EQUAL	Rhinovirus	0	Double
T100	Human	EQUAL	Rhinovirus	0	Double
T100	Influenza	EQUAL	Rhinovirus	0	Double
T100	Metapneumovirus	EQUAL	Rhinovirus	0	Double
T100	Rhinovirus	EQUAL	Rhinovirus	78226	Double
T100	Sars_cov_2	EQUAL	Rhinovirus	0	Double
T100	Unrelated	EQUAL	Rhinovirus	12	Double
T100	Coronaviridae	INDEL	Rhinovirus	0	Double
T100	Human	INDEL	Rhinovirus	0	Double
T100	Influenza	INDEL	Rhinovirus	0	Double
T100	Metapneumovirus	INDEL	Rhinovirus	0	Double
T100	Rhinovirus	INDEL	Rhinovirus	15	Double
T100	Sars_cov_2	INDEL	Rhinovirus	0	Double
T100	Unrelated	INDEL	Rhinovirus	0	Double
T100	Coronaviridae	MM	Rhinovirus	0	Double
T100	Human	MM	Rhinovirus	0	Double
T100	Influenza	MM	Rhinovirus	0	Double
T100	Metapneumovirus	MM	Rhinovirus	0	Double
T100	Rhinovirus	MM	Rhinovirus	22253	Double
T100	Sars_cov_2	MM	Rhinovirus	0	Double
T100	Unrelated	MM	Rhinovirus	5	Double
T100	Coronaviridae	EQUAL	Sars_cov_2	0	Double
T100	Human	EQUAL	Sars_cov_2	0	Double
T100	Influenza	EQUAL	Sars_cov_2	0	Double
T100	Metapneumovirus	EQUAL	Sars_cov_2	0	Double
T100	Rhinovirus	EQUAL	Sars_cov_2	0	Double
T100	Sars_cov_2	EQUAL	Sars_cov_2	77723	Double
T100	Unrelated	EQUAL	Sars_cov_2	0	Double
T100	Coronaviridae	INDEL	Sars_cov_2	0	Double
T100	Human	INDEL	Sars_cov_2	0	Double
T100	Influenza	INDEL	Sars_cov_2	0	Double
T100	Metapneumovirus	INDEL	Sars_cov_2	0	Double
T100	Rhinovirus	INDEL	Sars_cov_2	0	Double
T100	Sars_cov_2	INDEL	Sars_cov_2	26	Double
T100	Unrelated	INDEL	Sars_cov_2	0	Double
T100	Coronaviridae	MM	Sars_cov_2	0	Double
T100	Human	MM	Sars_cov_2	0	Double
T100	Influenza	MM	Sars_cov_2	0	Double
T100	Metapneumovirus	MM	Sars_cov_2	0	Double
T100	Rhinovirus	MM	Sars_cov_2	0	Double
T100	Sars_cov_2	MM	Sars_cov_2	22225	Double
T100	Unrelated	MM	Sars_cov_2	0	Double
T10	Coronaviridae	EQUAL	Coronaviridae	79153	Single
T10	Human	EQUAL	Coronaviridae	3	Single
T10	Influenza	EQUAL	Coronaviridae	1	Single
T10	Metapneumovirus	EQUAL	Coronaviridae	11	Single
T10	Rhinovirus	EQUAL	Coronaviridae	0	Single
T10	Sars_cov_2	EQUAL	Coronaviridae	1	Single
T10	Unrelated	EQUAL	Coronaviridae	113	Single
T10	Coronaviridae	INDEL	Coronaviridae	17	Single
T10	Human	INDEL	Coronaviridae	0	Single
T10	Influenza	INDEL	Coronaviridae	0	Single
T10	Metapneumovirus	INDEL	Coronaviridae	0	Single
T10	Rhinovirus	INDEL	Coronaviridae	0	Single
T10	Sars_cov_2	INDEL	Coronaviridae	0	Single
T10	Unrelated	INDEL	Coronaviridae	0	Single
T10	Coronaviridae	MM	Coronaviridae	22481	Single
T10	Human	MM	Coronaviridae	2	Single
T10	Influenza	MM	Coronaviridae	2	Single
T10	Metapneumovirus	MM	Coronaviridae	6	Single
T10	Rhinovirus	MM	Coronaviridae	2	Single
T10	Sars_cov_2	MM	Coronaviridae	46	Single
T10	Unrelated	MM	Coronaviridae	39	Single
T10	Coronaviridae	EQUAL	Discarded	267	Single
T10	Human	EQUAL	Discarded	0	Single
T10	Influenza	EQUAL	Discarded	1112	Single
T10	Metapneumovirus	EQUAL	Discarded	0	Single
T10	Rhinovirus	EQUAL	Discarded	1105	Single
T10	Sars_cov_2	EQUAL	Discarded	93	Single
T10	Unrelated	EQUAL	Discarded	69	Single
T10	Coronaviridae	INDEL	Discarded	0	Single
T10	Human	INDEL	Discarded	0	Single
T10	Influenza	INDEL	Discarded	0	Single
T10	Metapneumovirus	INDEL	Discarded	0	Single
T10	Rhinovirus	INDEL	Discarded	0	Single
T10	Sars_cov_2	INDEL	Discarded	0	Single
T10	Unrelated	INDEL	Discarded	0	Single
T10	Coronaviridae	MM	Discarded	77	Single
T10	Human	MM	Discarded	0	Single
T10	Influenza	MM	Discarded	321	Single
T10	Metapneumovirus	MM	Discarded	0	Single
T10	Rhinovirus	MM	Discarded	309	Single
T10	Sars_cov_2	MM	Discarded	32	Single
T10	Unrelated	MM	Discarded	19	Single
T10	Coronaviridae	EQUAL	Human	0	Single
T10	Human	EQUAL	Human	77846	Single
T10	Influenza	EQUAL	Human	15	Single
T10	Metapneumovirus	EQUAL	Human	0	Single
T10	Rhinovirus	EQUAL	Human	0	Single
T10	Sars_cov_2	EQUAL	Human	0	Single
T10	Unrelated	EQUAL	Human	77441	Single
T10	Coronaviridae	INDEL	Human	0	Single
T10	Human	INDEL	Human	29	Single
T10	Influenza	INDEL	Human	1	Single
T10	Metapneumovirus	INDEL	Human	0	Single
T10	Rhinovirus	INDEL	Human	0	Single
T10	Sars_cov_2	INDEL	Human	0	Single
T10	Unrelated	INDEL	Human	17	Single
T10	Coronaviridae	MM	Human	34	Single
T10	Human	MM	Human	22296	Single
T10	Influenza	MM	Human	15	Single
T10	Metapneumovirus	MM	Human	33	Single
T10	Rhinovirus	MM	Human	27	Single
T10	Sars_cov_2	MM	Human	14	Single
T10	Unrelated	MM	Human	22018	Single
T10	Coronaviridae	EQUAL	Influenza	0	Single
T10	Human	EQUAL	Influenza	0	Single
T10	Influenza	EQUAL	Influenza	76807	Single
T10	Metapneumovirus	EQUAL	Influenza	0	Single
T10	Rhinovirus	EQUAL	Influenza	0	Single
T10	Sars_cov_2	EQUAL	Influenza	0	Single
T10	Unrelated	EQUAL	Influenza	12	Single
T10	Coronaviridae	INDEL	Influenza	0	Single
T10	Human	INDEL	Influenza	0	Single
T10	Influenza	INDEL	Influenza	23	Single
T10	Metapneumovirus	INDEL	Influenza	0	Single
