dataid	knownlabel	readtype	predictedlabel	readcounts	testclass
FPRT100	Unrelated	EQUAL	rc_discarded	16	Coronaviridae
FPRT100	Human	INDEL	rc_discarded	0	Coronaviridae
FPRT100	Influenza	INDEL	rc_discarded	0	Coronaviridae
FPRT100	Metapneumovirus	INDEL	rc_discarded	0	Coronaviridae
FPRT100	Rhinovirus	INDEL	rc_discarded	0	Coronaviridae
FPRT100	Sars_cov_2	INDEL	rc_discarded	0	Coronaviridae
FPRT100	Unrelated	INDEL	rc_discarded	0	Coronaviridae
FPRT100	Human	MM	rc_discarded	3	Coronaviridae
FPRT100	Influenza	MM	rc_discarded	50	Coronaviridae
FPRT100	Metapneumovirus	MM	rc_discarded	38	Coronaviridae
FPRT100	Rhinovirus	MM	rc_discarded	20	Coronaviridae
FPRT100	Sars_cov_2	MM	rc_discarded	208	Coronaviridae
FPRT100	Unrelated	MM	rc_discarded	4	Coronaviridae
FPRT100	Human	EQUAL	Rhinovirus	0	Coronaviridae
FPRT100	Influenza	EQUAL	Rhinovirus	0	Coronaviridae
FPRT100	Metapneumovirus	EQUAL	Rhinovirus	0	Coronaviridae
FPRT100	Rhinovirus	EQUAL	Rhinovirus	48594	Coronaviridae
FPRT100	Sars_cov_2	EQUAL	Rhinovirus	0	Coronaviridae
FPRT100	Unrelated	EQUAL	Rhinovirus	1	Coronaviridae
FPRT100	Human	INDEL	Rhinovirus	0	Coronaviridae
FPRT100	Influenza	INDEL	Rhinovirus	0	Coronaviridae
FPRT100	Metapneumovirus	INDEL	Rhinovirus	0	Coronaviridae
FPRT100	Rhinovirus	INDEL	Rhinovirus	12	Coronaviridae
FPRT100	Sars_cov_2	INDEL	Rhinovirus	0	Coronaviridae
FPRT100	Unrelated	INDEL	Rhinovirus	0	Coronaviridae
FPRT100	Human	MM	Rhinovirus	0	Coronaviridae
FPRT100	Influenza	MM	Rhinovirus	0	Coronaviridae
FPRT100	Metapneumovirus	MM	Rhinovirus	0	Coronaviridae
FPRT100	Rhinovirus	MM	Rhinovirus	13802	Coronaviridae
FPRT100	Sars_cov_2	MM	Rhinovirus	0	Coronaviridae
FPRT100	Unrelated	MM	Rhinovirus	1	Coronaviridae
FPRT100	Human	EQUAL	Sars_cov_2	0	Coronaviridae
FPRT100	Influenza	EQUAL	Sars_cov_2	0	Coronaviridae
FPRT100	Metapneumovirus	EQUAL	Sars_cov_2	0	Coronaviridae
FPRT100	Rhinovirus	EQUAL	Sars_cov_2	0	Coronaviridae
FPRT100	Sars_cov_2	EQUAL	Sars_cov_2	133824	Coronaviridae
FPRT100	Unrelated	EQUAL	Sars_cov_2	0	Coronaviridae
FPRT100	Human	INDEL	Sars_cov_2	0	Coronaviridae
FPRT100	Influenza	INDEL	Sars_cov_2	0	Coronaviridae
FPRT100	Metapneumovirus	INDEL	Sars_cov_2	0	Coronaviridae
FPRT100	Rhinovirus	INDEL	Sars_cov_2	0	Coronaviridae
FPRT100	Sars_cov_2	INDEL	Sars_cov_2	38	Coronaviridae
FPRT100	Unrelated	INDEL	Sars_cov_2	0	Coronaviridae
FPRT100	Human	MM	Sars_cov_2	0	Coronaviridae
FPRT100	Influenza	MM	Sars_cov_2	0	Coronaviridae
FPRT100	Metapneumovirus	MM	Sars_cov_2	0	Coronaviridae
FPRT100	Rhinovirus	MM	Sars_cov_2	0	Coronaviridae
FPRT100	Sars_cov_2	MM	Sars_cov_2	37728	Coronaviridae
FPRT100	Unrelated	MM	Sars_cov_2	0	Coronaviridae
