filename class pp_0.95 reads prop_totalreads
SRR4427272 Coronaviridae above 257 0.0494343
SRR4427272 Influenza above 0 0
SRR4427272 Metapneumovirus above 0 0
SRR4427272 Rhinovirus above 2 3.84703e-4
SRR4427272 Human above 211701 40.721
SRR4427272 Discarded above 307827 59.2109
SRR4427272 rc_discarded above 25 0.00480878
SRR4427273 SARS-CoV-2 above 0 0
SRR4427273 Coronaviridae above 3 3.75215e-4
SRR4427273 Influenza above 0 0
SRR4427273 Metapneumovirus above 0 0
SRR4427273 Rhinovirus above 1318 0.164845
SRR4427273 Human above 515003 64.4123
SRR4427273 Discarded above 282842 35.3755
SRR4427273 rc_discarded above 92 0.0115066
SRR4427274 SARS-CoV-2 above 0 0
SRR4427274 Coronaviridae above 1 1.50899e-4
SRR4427274 Influenza above 0 0
SRR4427274 Metapneumovirus above 0 0
SRR4427274 Rhinovirus above 32 0.00482877
SRR4427274 Human above 405194 61.1434
SRR4427274 Discarded above 257258 38.82
SRR4427274 rc_discarded above 51 0.00769585
SRR4427275 SARS-CoV-2 above 0 0
SRR4427275 Coronaviridae above 6 8.38136e-4
SRR4427275 Influenza above 0 0
SRR4427275 Metapneumovirus above 0 0
SRR4427275 Rhinovirus above 18 0.00251441
SRR4427275 Human above 463104 64.6907
SRR4427275 Discarded above 252539 35.277
SRR4427275 rc_discarded above 52 0.00726385
SRR4427276 SARS-CoV-2 above 0 0
SRR4427276 Coronaviridae above 4 4.69367e-4
SRR4427276 Influenza above 0 0
SRR4427276 Metapneumovirus above 0 0
SRR4427276 Rhinovirus above 9 0.00105608
SRR4427276 Human above 611808 71.7906
SRR4427276 Discarded above 240061 28.1692
SRR4427276 rc_discarded above 83 0.00973936
SRR4427277 SARS-CoV-2 above 0 0
SRR4427277 Coronaviridae above 6 7.17494e-4
SRR4427277 Influenza above 0 0
SRR4427277 Metapneumovirus above 0 0
SRR4427277 Rhinovirus above 15 0.00179373
SRR4427277 Human above 594693 71.1148
SRR4427277 Discarded above 241208 28.8442
SRR4427277 rc_discarded above 65 0.00777285
SRR4427278 SARS-CoV-2 above 0 0
SRR4427278 Coronaviridae above 5 5.01721e-4
SRR4427278 Influenza above 0 0
SRR4427278 Metapneumovirus above 0 0
SRR4427278 Rhinovirus above 11 0.00110379
SRR4427278 Human above 719762 72.224
SRR4427278 Discarded above 276384 27.7336
SRR4427278 rc_discarded above 123 0.0123423
SRR4427279 SARS-CoV-2 above 0 0
SRR4427279 Coronaviridae above 1 1.9299e-4
SRR4427279 Influenza above 0 0
SRR4427279 Metapneumovirus above 0 0
SRR4427279 Rhinovirus above 7 0.00135093
SRR4427279 Human above 271898 52.4736
SRR4427279 Discarded above 245478 47.3748
SRR4427279 rc_discarded above 175 0.0337732
SRR4427280 SARS-CoV-2 above 0 0
SRR4427280 Coronaviridae above 2 2.92415e-4
SRR4427280 Influenza above 0 0
SRR4427280 Metapneumovirus above 0 0
SRR4427280 Rhinovirus above 355 0.0519036
SRR4427280 Human above 428422 62.6385
SRR4427280 Discarded above 254955 37.2763
SRR4427280 rc_discarded above 67 0.00979589
SRR4427281 SARS-CoV-2 above 0 0
SRR4427281 Coronaviridae above 6 5.62749e-4
SRR4427281 Influenza above 0 0
SRR4427281 Metapneumovirus above 0 0
SRR4427281 Rhinovirus above 8 7.50332e-4
SRR4427281 Human above 752634 70.5907
SRR4427281 Discarded above 313126 29.3686
SRR4427281 rc_discarded above 101 0.00947295
SRR4427282 SARS-CoV-2 above 0 0
SRR4427282 Coronaviridae above 4 4.77906e-4
SRR4427282 Influenza above 0 0
SRR4427282 Metapneumovirus above 0 0
SRR4427282 Rhinovirus above 12 0.00143372
SRR4427282 Human above 583665 69.7342
SRR4427282 Discarded above 253048 30.2333
SRR4427282 rc_discarded above 71 0.00848283
SRR4427283 SARS-CoV-2 above 0 0
SRR4427283 Coronaviridae above 12 0.00149517
SRR4427283 Influenza above 0 0
SRR4427283 Metapneumovirus above 0 0
SRR4427283 Rhinovirus above 14 0.00174436
SRR4427283 Human above 477019 59.4353
SRR4427283 Discarded above 325301 40.5316
SRR4427283 rc_discarded above 67 0.00834802
SRR4427284 SARS-CoV-2 above 0 0
SRR4427284 Coronaviridae above 5 7.42889e-4
SRR4427284 Influenza above 0 0
SRR4427284 Metapneumovirus above 0 0
SRR4427284 Rhinovirus above 3 4.45733e-4
SRR4427284 Human above 412125 61.2326
SRR4427284 Discarded above 260728 38.7384
SRR4427284 rc_discarded above 35 0.00520022
SRR4427285 SARS-CoV-2 above 0 0
SRR4427285 Coronaviridae above 5 6.89901e-4
SRR4427285 Influenza above 0 0
SRR4427285 Metapneumovirus above 0 0
SRR4427285 Rhinovirus above 8 0.00110384
SRR4427285 Human above 519771 71.7181
SRR4427285 Discarded above 204691 28.2433
SRR4427285 rc_discarded above 62 0.00855477
SRR4427286 SARS-CoV-2 above 0 0
SRR4427286 Coronaviridae above 2 2.30754e-4
SRR4427286 Influenza above 0 0
SRR4427286 Metapneumovirus above 0 0
SRR4427286 Rhinovirus above 11 0.00126915
SRR4427286 Human above 653329 75.3791
SRR4427286 Discarded above 213032 24.579
SRR4427286 rc_discarded above 84 0.00969167
SRR4427287 SARS-CoV-2 above 0 0
SRR4427287 Coronaviridae above 3 4.88047e-4
SRR4427287 Influenza above 0 0
SRR4427287 Metapneumovirus above 0 0
SRR4427287 Rhinovirus above 1 1.62682e-4
SRR4427287 Human above 236939 38.5458
SRR4427287 Discarded above 377629 61.4336
SRR4427287 rc_discarded above 31 0.00504315
SRR4427288 SARS-CoV-2 above 0 0
SRR4427288 Coronaviridae above 1 3.13539e-4
SRR4427288 Influenza above 0 0
SRR4427288 Metapneumovirus above 0 0
SRR4427288 Rhinovirus above 1 3.13539e-4
SRR4427288 Human above 151268 47.4284
SRR4427288 Discarded above 167617 52.5544
SRR4427288 rc_discarded above 17 0.00533016
SRR4427289 SARS-CoV-2 above 0 0
SRR4427289 Coronaviridae above 3 4.96503e-4
SRR4427289 Influenza above 0 0
SRR4427289 Metapneumovirus above 0 0
SRR4427289 Rhinovirus above 4 6.62004e-4
SRR4427289 Human above 336926 55.7616
SRR4427289 Discarded above 267106 44.2063
SRR4427289 rc_discarded above 40 0.00662004
SRR4427290 SARS-CoV-2 above 0 0
SRR4427290 Coronaviridae above 1 1.61812e-4
SRR4427290 Influenza above 0 0
SRR4427290 Metapneumovirus above 0 0
SRR4427290 Rhinovirus above 7 0.00113268
SRR4427290 Human above 354709 57.3962
SRR4427290 Discarded above 263132 42.5779
SRR4427290 rc_discarded above 48 0.00776698
SRR4427291 SARS-CoV-2 above 0 0
SRR4427291 Coronaviridae above 3 5.17183e-4
