run	id	pacific	bwa	kraken
SRR4427252	SRR4427252:SRR4427252.59197:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.59197:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.59198:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.59198:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.59199:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.59199:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.59204:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.59208:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.59738:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.59738:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.60135:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.60135:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.60138:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.60138:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.60141:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.60142:rhinovirus	fa	sam	NA
SRR4427252	SRR4427252:SRR4427252.60405:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.60405:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.60406:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.60406:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.62069:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.62069:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.62093:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.62093:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.62096:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.62096:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.62949:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.62949:rhinovirus	fa	sam	kraken
SRR4427252	SRR4427252:SRR4427252.64645:rhinovirus	fa	sam	kraken
