run	classifier	class	nreads	rproportion	study
SRR4427250	bwa	Sars_cov_2	0	0	GALA
SRR4427250	kraken	Coronaviridae	0	0	GALA
SRR4427250	kraken	Rhinovirus	0	0	GALA
SRR4427250	kraken	Influenza	0	0	GALA
SRR4427250	kraken	Metapneumovirus	0	0	GALA
SRR4427250	kraken	Sars_cov_2	0	0	GALA
SRR4427251	pacific	Coronaviridae	2	8.977144190889994e-4	GALA
SRR4427251	pacific	Rhinovirus	1	4.488572095444997e-4	GALA
SRR4427251	pacific	Influenza	0	0	GALA
SRR4427251	pacific	Metapneumovirus	0	0	GALA
SRR4427251	pacific	Sars_cov_2	0	0	GALA
SRR4427251	bwa	Coronaviridae	0	0	GALA
SRR4427251	bwa	Rhinovirus	0	0	GALA
SRR4427251	bwa	Influenza	0	0	GALA
SRR4427251	bwa	Metapneumovirus	0	0	GALA
SRR4427251	bwa	Sars_cov_2	0	0	GALA
SRR4427251	kraken	Coronaviridae	0	0	GALA
SRR4427251	kraken	Rhinovirus	0	0	GALA
SRR4427251	kraken	Influenza	0	0	GALA
SRR4427251	kraken	Metapneumovirus	0	0	GALA
SRR4427251	kraken	Sars_cov_2	0	0	GALA
SRR4427252	pacific	Rhinovirus	2013	0.904426432794781	GALA
SRR4427252	pacific	Coronaviridae	2	8.98585626224323e-4	GALA
SRR4427252	pacific	Influenza	0	0	GALA
SRR4427252	pacific	Metapneumovirus	0	0	GALA
SRR4427252	pacific	Sars_cov_2	0	0	GALA
SRR4427252	bwa	Rhinovirus	2121	0.9529500566108944	GALA
SRR4427252	bwa	Coronaviridae	0	0	GALA
SRR4427252	bwa	Influenza	0	0	GALA
SRR4427252	bwa	Metapneumovirus	0	0	GALA
SRR4427252	bwa	Sars_cov_2	0	0	GALA
SRR4427252	kraken	Rhinovirus	1716	0.770986467300469	GALA
SRR4427252	kraken	Coronaviridae	0	0	GALA
SRR4427252	kraken	Influenza	0	0	GALA
SRR4427252	kraken	Metapneumovirus	0	0	GALA
SRR4427252	kraken	Sars_cov_2	0	0	GALA
SRR4427253	pacific	Coronaviridae	2	0.0010053029731835433	GALA
SRR4427253	pacific	Rhinovirus	2	0.0010053029731835433	GALA
SRR4427253	pacific	Influenza	0	0	GALA
SRR4427253	pacific	Metapneumovirus	0	0	GALA
SRR4427253	pacific	Sars_cov_2	0	0	GALA
SRR4427253	bwa	Coronaviridae	0	0	GALA
SRR4427253	bwa	Rhinovirus	0	0	GALA
SRR4427253	bwa	Influenza	0	0	GALA
SRR4427253	bwa	Metapneumovirus	0	0	GALA
SRR4427253	bwa	Sars_cov_2	0	0	GALA
SRR4427253	kraken	Coronaviridae	0	0	GALA
SRR4427253	kraken	Rhinovirus	0	0	GALA
SRR4427253	kraken	Influenza	0	0	GALA
SRR4427253	kraken	Metapneumovirus	0	0	GALA
SRR4427253	kraken	Sars_cov_2	0	0	GALA
SRR4427254	pacific	Rhinovirus	2	4.83423411228959e-4	GALA
SRR4427254	pacific	Coronaviridae	1	2.417117056144795e-4	GALA
SRR4427254	pacific	Influenza	0	0	GALA
SRR4427254	pacific	Metapneumovirus	0	0	GALA
SRR4427254	pacific	Sars_cov_2	0	0	GALA
SRR4427254	bwa	Rhinovirus	0	0	GALA
SRR4427254	bwa	Coronaviridae	0	0	GALA
SRR4427254	bwa	Influenza	0	0	GALA
SRR4427254	bwa	Metapneumovirus	0	0	GALA
SRR4427254	bwa	Sars_cov_2	0	0	GALA
SRR4427254	kraken	Rhinovirus	0	0	GALA
SRR4427254	kraken	Coronaviridae	0	0	GALA
SRR4427254	kraken	Influenza	0	0	GALA
